date,Euribor_3m,Euribor_1w,Euribor_1m,Euribor_6m,Euribor_12m,VIX,EuroStoxx_Banks,Bund_10Y,ECB_Deposit,ECB_Marginal,ECB_Main,ECB_Yield_10Y,ECB_Yield_1Y,ECB_Yield_10Y,ECB_Yield_1Y,TIME PERIOD,Euro short-term rate - Calculation method (EST.B.EU000A2X2A25.CM),Euro short-term rate - Number of active banks (EST.B.EU000A2X2A25.NB),Euro short-term rate - Number of transactions (EST.B.EU000A2X2A25.NT),Euro short-term rate - Rate at 25th percentile of volume (EST.B.EU000A2X2A25.R25),Euro short-term rate - Rate at 75th percentile of volume (EST.B.EU000A2X2A25.R75),Euro short-term rate - Publication type (EST.B.EU000A2X2A25.RP),Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT),Euro short-term rate - Share of volume of the 5 largest active banks (EST.B.EU000A2X2A25.VL),Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT),OIS_1m,OIS_3m
2005-05-10,2.125,2.093,2.104,2.144,2.192,14.91,44889.86324250965,3.30409090909091,1.0,3.0,2.0,4.37136,2.173643,3.426347,2.066329,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-05-16,2.126,2.092,2.105,2.146,2.2,15.68,44889.86324250965,3.30409090909091,1.0,3.0,2.0,4.280316,2.191342,3.372632,2.08203,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-05-20,2.126,2.092,2.104,2.149,2.212,13.14,44889.86324250965,3.30409090909091,1.0,3.0,2.0,4.262398,2.238805,3.39553,2.103109,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-05-26,2.125,2.099,2.104,2.139,2.174,12.24,44889.86324250965,3.30409090909091,1.0,3.0,2.0,4.29149,2.162788,3.369033,2.067867,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-06-01,2.124,2.099,2.104,2.127,2.14,12.36,47356.71782023175,3.12636363636364,1.0,3.0,2.0,4.287998,2.061002,3.310745,2.000604,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-06-07,2.116,2.094,2.104,2.116,2.121,12.39,47356.71782023175,3.12636363636364,1.0,3.0,2.0,4.047855,1.969581,3.193088,1.979179,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-06-13,2.111,2.093,2.104,2.106,2.101,11.65,47356.71782023175,3.12636363636364,1.0,3.0,2.0,4.111663,1.999163,3.230299,1.986623,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-06-17,2.116,2.093,2.104,2.124,2.136,11.48,47356.71782023175,3.12636363636364,1.0,3.0,2.0,4.21267,2.097026,3.344097,2.027972,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-06-23,2.102,2.101,2.103,2.084,2.057,12.13,47356.71782023175,3.12636363636364,1.0,3.0,2.0,4.080286,1.937544,3.203041,1.941655,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-06-29,2.104,2.101,2.104,2.098,2.085,11.77,47356.71782023175,3.12636363636364,1.0,3.0,2.0,4.08537,1.923227,3.184047,1.944769,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-07-05,2.114,2.098,2.104,2.125,2.145,11.68,48929.95093433552,3.20571428571429,1.0,3.0,2.0,4.115006,2.094796,3.261914,2.034248,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-07-11,2.115,2.095,2.108,2.126,2.152,11.28,48929.95093433552,3.20571428571429,1.0,3.0,2.0,4.13819,2.0977,3.247367,2.043685,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-07-15,2.122,2.098,2.106,2.142,2.192,10.33,48929.95093433552,3.20571428571429,1.0,3.0,2.0,4.214808,2.166153,3.319682,2.079674,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-07-21,2.123,2.101,2.106,2.143,2.185,10.97,48929.95093433552,3.20571428571429,1.0,3.0,2.0,4.207495,2.138655,3.312366,2.069546,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-07-27,2.126,2.103,2.108,2.144,2.187,10.36,48929.95093433552,3.20571428571429,1.0,3.0,2.0,4.125329,2.135901,3.254916,2.075318,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-08-02,2.127,2.098,2.112,2.156,2.222,11.75,51233.94926401503,3.23260869565217,1.0,3.0,2.0,4.15885,2.21568,3.306905,2.10895,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-08-08,2.133,2.101,2.113,2.165,2.255,13.21,51233.94926401503,3.23260869565217,1.0,3.0,2.0,4.217401,2.277654,3.396172,2.142367,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-08-12,2.134,2.101,2.114,2.166,2.24,12.74,51233.94926401503,3.23260869565217,1.0,3.0,2.0,4.163688,2.222883,3.329722,2.116683,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-08-18,2.132,2.1,2.112,2.154,2.196,13.42,51233.94926401503,3.23260869565217,1.0,3.0,2.0,4.08734,2.136425,3.240814,2.077521,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-08-24,2.132,2.102,2.112,2.158,2.204,14.17,51233.94926401503,3.23260869565217,1.0,3.0,2.0,4.016315,2.166283,3.19831,2.094183,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-08-30,2.134,2.102,2.114,2.16,2.224,13.65,51233.94926401503,3.23260869565217,1.0,3.0,2.0,3.988654,2.202379,3.190083,2.111076,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-09-05,2.131,2.103,2.112,2.14,2.154,13.65,50574.17266938093,3.06772727272727,1.0,3.0,2.0,3.922776,2.067585,3.082488,2.027648,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-09-09,2.134,2.102,2.114,2.155,2.188,11.98,50574.17266938093,3.06772727272727,1.0,3.0,2.0,3.893921,2.110852,3.076261,2.057058,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-09-15,2.136,2.103,2.115,2.172,2.231,12.49,50574.17266938093,3.06772727272727,1.0,3.0,2.0,3.936232,2.196078,3.131699,2.099487,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-09-21,2.136,2.103,2.114,2.167,2.221,13.79,50574.17266938093,3.06772727272727,1.0,3.0,2.0,3.831406,2.16153,3.056347,2.082135,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-09-27,2.144,2.122,2.119,2.184,2.266,12.76,50574.17266938093,3.06772727272727,1.0,3.0,2.0,3.890207,2.250999,3.133031,2.130421,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-10-03,2.178,2.104,2.122,2.216,2.334,12.46,53665.29909176323,3.23857142857143,1.0,3.0,2.0,3.869801,2.376509,3.221679,2.194595,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-10-07,2.192,2.104,2.124,2.255,2.384,14.59,53665.29909176323,3.23857142857143,1.0,3.0,2.0,3.831589,2.398547,3.196122,2.226264,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-10-13,2.185,2.103,2.12,2.253,2.385,16.47,53665.29909176323,3.23857142857143,1.0,3.0,2.0,4.006364,2.488891,3.294199,2.262487,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-10-19,2.188,2.1,2.12,2.273,2.416,13.5,53665.29909176323,3.23857142857143,1.0,3.0,2.0,4.004918,2.475685,3.288805,2.265735,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-10-25,2.186,2.101,2.116,2.279,2.432,14.53,53665.29909176323,3.23857142857143,1.0,3.0,2.0,3.991766,2.559851,3.299991,2.313365,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-10-31,2.263,2.099,2.125,2.378,2.552,15.32,53071.30180603403,3.23857142857143,1.0,3.0,2.0,4.073494,2.668664,3.404296,2.406292,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-11-04,2.265,2.095,2.125,2.407,2.605,13.17,53071.30180603403,3.44818181818182,1.0,3.0,2.0,4.110184,2.726683,3.482619,2.443216,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-11-10,2.324,2.098,2.171,2.48,2.683,11.9,53071.30180603403,3.44818181818182,1.0,3.0,2.0,4.114891,2.824929,3.540697,2.52634,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-11-16,2.35,2.102,2.192,2.495,2.684,12.26,53071.30180603403,3.44818181818182,1.0,3.0,2.0,4.070793,2.740859,3.456645,2.497923,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-11-22,2.437,2.18,2.304,2.571,2.76,10.6,53071.30180603403,3.44818181818182,1.0,3.0,2.0,4.071212,2.859046,3.509495,2.604563,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-11-28,2.461,2.162,2.326,2.583,2.744,11.84,53071.30180603403,3.44818181818182,1.0,3.0,2.0,4.013564,2.808726,3.428131,2.58798,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-12-02,2.452,2.343,2.399,2.556,2.704,11.01,55863.86887984131,3.33761904761905,1.0,3.0,2.0,4.009649,2.746559,3.418166,2.543992,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-12-08,2.452,2.343,2.403,2.554,2.709,12.21,55863.86887984131,3.33761904761905,1.25,3.25,2.25,3.972761,2.774265,3.387489,2.56216,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-12-14,2.463,2.345,2.408,2.592,2.777,10.48,55863.86887984131,3.33761904761905,1.25,3.25,2.25,3.915008,2.860853,3.366784,2.615577,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-12-20,2.489,2.358,2.419,2.618,2.815,11.19,55863.86887984131,3.33761904761905,1.25,3.25,2.25,3.847752,2.888519,3.354752,2.640685,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-12-26,2.495,2.472,2.428,2.636,2.843,11.19,55863.86887984131,3.33761904761905,1.25,3.25,2.25,3.847752,2.888519,3.354752,2.640685,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-12-30,2.488,2.362,2.401,2.637,2.844,12.07,55863.86887984131,3.33761904761905,1.25,3.25,2.25,3.752152,2.909213,3.205643,2.649187,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2006-01-05,2.49,2.36,2.39,2.628,2.79,11.31,57876.60507359849,3.32136363636364,1.25,3.25,2.25,3.764933,2.814564,3.274608,2.605608,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
